,Barcelo Maya Palace (5)   ,,,Hilton Tulum Resort (5)   ,,,Margaritaville Island Reserve Riviera Cancu (5)   ,,,Royal Hideaway Playacar (5)   ,,,Secrets Akumal Riviera Maya (5)   ,,,Secrets Impression Moxche (5)   ,,,Secrets Maroma (5)   ,,,Secrets Moxche Playa del Carmen (5)   ,,,Secrets Riviera Cancun Resort and Spa (5)   ,,,Secrets Tulum Resort and Beach Club (5)   ,,,Sensira Resort and Spa (5)   ,,
2023-10-08,2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
2023-10-08,2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
2023-10-08,2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
2023-10-08,2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
2023-10-08,2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
2023-10-08,2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
"""2023-10-08""",2049,2055,2055,2155,2209,2149,2135,2135,2139,2119,2129,2249,3095,3549,3555,3609,3629,3629,4009,4019,3979,3675,3745,3839,2575,2645,2895,2915,2785,2845,3235,3235,3295
2023/10/10,2055,2055,2055,2155,2209,2149,2135,2135,2139,2185,2185,2255,3095,3549,3555,4325,4325,4325,4009,4039,3979,3675,3745,4025,2575,2645,2895,2915,2785,2845,3235,3235,3295
